id,x1,x2,x3,pIndex,Volume,Relative Volume,Grid,Grid Denominator,Max Rank
4559,0.301478279853021,0.298523955145858,0.2816245808336045,9,0.0,0.0,0.025,40,15
4680,0.277697464994913,0.3510726547362049,0.2463163542293827,8,4e-05,5.428586938819825e-05,0.017543859649122806,57,13
4838,0.2179373995083881,0.2584073308111794,0.3184240273200072,2,0.00082,0.001112860322458064,0.1,10,2
4870,0.2202827881276482,0.1885041945836282,0.4254593086149176,2,0.0019,0.0025785787959394166,0.09090909090909091,11,2
5016,0.2678679537640972,0.4315772289018668,0.1883903386805238,4,0.00016,0.000217143477552793,0.05263157894736842,19,5
5293,0.5423262161176504,0.4557721524166424,0.1245982891682087,8,4e-05,5.428586938819825e-05,0.009523809523809525,105,6
5337,0.4852039011692961,0.4175436761233494,0.1331550893981158,6,8e-05,0.0001085717387763965,0.014705882352941176,68,7
5666,0.2141122888785271,0.2145327500048616,0.5564071379272522,5,0.00014,0.00019000054285869385,0.006896551724137931,145,5
5810,0.444753190252319,0.2143381778289187,0.1636766858688366,2,0.00022,0.0002985722816350904,0.037037037037037035,27,2
5841,0.1657741319514263,0.3105890575729459,0.4162969033952471,12,2e-05,2.7142934694099126e-05,0.011494252873563218,87,5
5903,0.3333985814944665,0.3045637939454362,0.1507272535072287,1,0.00096,0.001302860865316758,0.1111111111111111,9,1
6174,0.4241267580094093,0.5054697154547304,0.047741256983928,1,0.0076,0.010314315183757666,0.125,8,1
6323,0.5101073243024572,0.1411390403556582,0.2881266805956744,2,0.0004,0.0005428586938819825,0.023255813953488372,43,3
6448,0.3087126083033136,0.3420744758702335,0.1697908458030052,2,0.00018,0.00024428641224689214,0.038461538461538464,26,2
6827,0.4390262779345255,0.204817072431281,0.2292120802338706,6,2e-05,2.7142934694099126e-05,0.013513513513513514,74,3
7013,0.3472653929961244,0.0,0.6599564074336687,1,0.00494,0.006704304869442484,0.06666666666666667,15,1
7608,0.3973678433266173,0.2218000390236927,0.2422734799339728,5,8e-05,0.0001085717387763965,0.043478260869565216,23,6
7670,0.1511060135679579,0.3200430832893896,0.3515076289927052,2,0.0002,0.00027142934694099124,0.038461538461538464,26,3
7777,0.4688224314487455,0.1447777450583086,0.4186878348188498,>15,0.0,0.0,0.004651162790697674,215,10
7848,0.217132285424979,0.4484604638100185,0.3235572397102827,>15,0.0,0.0,0.004,250,28
7927,0.7800050794008967,0.3970064797246144,0.0733789727146497,1,0.00152,0.0020628630367515335,0.06666666666666667,15,1
8030,0.4034656905262666,0.4821324562373962,0.1169106101394836,5,0.0002,0.00027142934694099124,0.02857142857142857,35,4
8284,0.238194721068806,0.3468634073186987,0.2628397437593037,2,0.00018,0.00024428641224689214,0.047619047619047616,21,6
8932,0.292317730486156,0.1466445113499447,0.578750036612998,3,0.00136,0.0018457195591987405,0.047619047619047616,21,3
9044,0.1751194605350846,0.4642177600857824,0.3489503552441609,>15,0.0,0.0,0.004,250,15
9143,0.2628345083935145,0.4162778154916815,0.2574530982575098,>15,0.0,0.0,0.005714285714285714,175,20
9147,0.4761451334798462,0.2020628736423801,0.1461905259792423,1,0.00174,0.0023614353183866238,0.027777777777777776,36,1
9314,0.2122764259317711,0.2847190493740478,0.4329014657137128,>15,4e-05,5.428586938819825e-05,0.006060606060606061,165,9
9344,0.5904467119085811,0.3596912815974982,0.1394426678258995,11,4e-05,5.428586938819825e-05,0.008130081300813009,123,8
9831,0.2245564703696689,0.7396118162383427,0.0370441340791842,1,0.00868,0.01178003365723902,0.2,5,1
